alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.02,0.002,0.9,123,True,1858,2719,1.8,-1.6,0.8,1.125242195909596,-0.8406350914962178,0.715392895586649,2.195449840010015,2.248687473063221,2.9458160332640104,2.9917117320116438,0.0015812331765355124,0.00043613133439447996,0.0009270361749437924,0.001186171113286717,0.0002591349383429246,0.0002593555202728806,0.00045184453323279306,0.0004520651151627491,1.9,-3.2,2.3
0.02,0.002,0.9,1024,True,1217,2965,2.2,-1.6,0.4,0.5784716516022984,-0.8932621199671317,1.3147904683648437,2.5019992006393608,2.5581862606542347,2.8351568993658978,2.870073491167136,0.0016582166871605365,0.000570538113961358,0.0008024095162184994,0.001186171113286717,0.0003837615970682176,0.00038398217899817365,0.0005002365940907046,0.0005004571760206607,1.9,-3.2,2.3
0.05,0.0005,0.9,42,True,4899,3351,2.9,-2.2,0.3,2.0753999999999633,-1.0360000000000058,-0.0394000000000118,2.449489742783178,2.505164251076846,3.191622396211685,3.2469013052782336,0.002134757333557754,0.0009802161138480006,0.0006644331627857531,0.001186171113286717,0.0005217379505009639,0.00052195853243092,0.0005804228733055593,0.0005806434552355153,1.9,-3.2,2.3
0.05,0.0005,0.9,123,True,4675,3348,2.9,-2.5,0.6,1.7015000000000307,-1.4501499999999983,0.7486499999999701,2.092844953645635,2.147057759262082,2.3469265210057357,2.399141609095487,0.002305667084959466,0.0010251424477029365,0.0007679534134050613,0.001186171113286717,0.0004182176998816557,0.00041843828181161173,0.0002895462979025269,0.0002897668798324829,1.9,-3.2,2.3
0.05,0.0005,0.9,1024,True,5999,2779,1.9,-1.9,1.0,1.851850000000016,-2.01819999999998,1.1663499999999751,1.8384776310850237,1.8927585282908415,1.6383320740924603,1.691981657350681,0.0017713888055934804,0.0005161846249434308,0.000997111868178334,0.001186171113286717,0.0001890592451083829,0.00018927982703833895,0.00014820999015928383,0.00014843057208923987,1.9,-3.2,2.3
0.05,0.001,0.9,42,True,2869,3677,3.5,0.7,-3.2,1.2524000000000093,-0.44394999999999807,0.1915499999999972,6.929646455628166,6.986559170684578,3.529979994985809,3.579001145830477,0.0005981050026120702,0.0017717321549907007,-0.002059493229873981,0.001186171113286717,0.003245664343160698,0.003245884925090654,0.000633743511660886,0.000633964093590842,1.9,-3.2,2.3
0.05,0.001,0.9,123,True,2852,3126,2.5,-2.9,1.4,0.9313500000000013,0.180600000000005,-0.11195000000000384,1.1224972160321824,1.1750805183323962,4.26429853375676,4.311632553218473,0.002456563242870058,0.0009358360470579642,0.0010528091722831116,0.001186171113286717,0.00013336194100360536,0.0001335825229335614,0.0009272750102730021,0.0009274955922029582,1.9,-3.2,2.3
0.05,0.001,0.9,1024,True,2887,3073,2.4,-2.5,1.1,0.9382500000000041,-0.32129999999999087,0.3830500000000038,1.4764823060233399,1.533037843872978,3.5897874665500784,3.6354350166497618,0.002209437696678186,0.0008010474409388208,0.0010078665352699547,0.001186171113286717,0.00017830457801676228,0.00017852515994671832,0.0006693387756835412,0.0006695593576134972,1.9,-3.2,2.3
0.05,0.002,0.9,42,True,1504,2509,1.5,-3.1,2.6,0.9132313829787246,0.3224734042553242,-0.23570478723404334,0.5099019513592785,0.4804681473994479,4.450992019227379,4.498538789549572,0.002378044300575306,0.0008139902382708078,0.0011570589431690943,0.001186171113286717,2.9112170117622654e-05,2.9332752047578695e-05,0.0010079761154392327,0.0010081966973691887,1.9,-3.2,2.3
0.05,0.002,0.9,123,True,1858,2719,1.8,-1.6,0.8,1.0509687836383217,-0.7086114101183919,0.657642626480081,2.195449840010015,2.248687473063221,3.1024520712662276,3.147871400513117,0.0015812331765355124,0.00043613133439447996,0.0009270361749437924,0.001186171113286717,0.0002591349383429246,0.0002593555202728806,0.0005029298377503768,0.0005031504196803329,1.9,-3.2,2.3
