alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.01,0.0001,0.9,1024,True,23766,169,0.4,-0.4,1.0,0.3908499999999877,-0.31864999999998955,0.9278000000000002,0.7874007874011811,0.7644197177130587,0.7661360094656946,0.7438931672714324,0.0006281518837410778,9.856044882814757e-05,0.00048031121049885644,0.000596518511394103,0.0001162073008952466,0.00011627189987137271,0.00014857235468403152,0.00014863695366015763,1.0,-0.5,0.5
0.01,0.0001,0.95,42,True,25793,134,0.2,-0.2,1.0,0.2131999999999931,-0.1578999999999947,0.9446999999999999,0.9899494936611666,0.9683774765421052,0.9663564249282014,0.9454386318159266,0.0004757202941607574,8.504563543469707e-05,0.0003481518410087118,0.000596518511394103,0.00024836667038539127,0.0002484312693615174,0.00026001104471531385,0.00026007564369143996,1.0,-0.5,0.5
0.01,0.0001,0.95,123,True,22742,304,1.5,-0.1,-0.4,1.3685999999999992,-0.04769999999999901,-0.32089999999998936,1.104536101718726,1.125441958414215,1.007133585975556,1.0266496526067888,0.000668946786558182,0.00023874754435332287,0.0003108254700281977,0.000596518511394103,0.00028569304136590533,0.00028575764034203144,0.00027959994209821623,0.00027966454107434234,1.0,-0.5,0.5
0.01,0.0001,0.95,1024,True,23766,266,1.1,-0.5,0.4,1.0180499999999668,-0.4082499999999999,0.3901999999999873,0.14142135623730956,0.16469424772129143,0.1442217216649476,0.15984191851658536,0.0008198429444687743,0.00015099659497125602,0.0005933480520118903,0.000596518511394103,3.170459382212756e-06,3.2350583583388645e-06,4.12300763612054e-05,4.129467533733151e-05,1.0,-0.5,0.5
0.01,0.0001,0.99,42,True,25793,236,0.8,0.1,0.1,0.7648999999999747,0.11794999999999631,0.1171499999999966,0.7483314773547882,0.753076486973589,0.7640080726013371,0.7675368619204158,0.00042028580869658133,7.423954790330114e-05,0.0003089264868416296,0.000596518511394103,0.0002875920245524734,0.00028765662352859953,0.0002970721780818102,0.0002971367770579363,1.0,-0.5,0.5
0.01,0.0001,0.99,123,True,22742,243,0.9,-0.5,0.6,0.8376000000000225,-0.40169999999999983,0.5641000000000056,0.14142135623730948,0.1181484647533276,0.20036331999643406,0.1822973655764031,0.0007813511891562622,0.00012428863563823984,0.0005949182356989024,0.000596518511394103,1.6002756952006487e-06,1.6648746713267574e-06,4.6226668343963087e-05,4.6291267320089195e-05,1.0,-0.5,0.5
0.01,0.0001,0.99,1024,True,23766,266,1.1,-0.5,0.4,1.0180499999999668,-0.4082499999999999,0.3901999999999873,0.14142135623730956,0.16469424772129143,0.1442217216649476,0.15984191851658536,0.0008198429444687743,0.00015099659497125602,0.0005933480520118903,0.000596518511394103,3.170459382212756e-06,3.2350583583388645e-06,4.12300763612054e-05,4.129467533733151e-05,1.0,-0.5,0.5
0.01,0.0005,0.9,42,True,5286,216,0.7,-0.5,0.8,0.25309999999999755,-0.17984999999999965,0.9267499999999772,0.42426406871192857,0.4009911772279467,0.9178622963168191,0.8968749462734026,0.0007428594338437501,0.00011030263651165878,0.000577405479076262,0.000596518511394103,1.9113032317841076e-05,1.9177631293967184e-05,0.00023939712147496824,0.00023946172045109435,1.0,-0.5,0.5
0.01,0.0005,0.9,123,True,4546,289,1.3,-0.1,-0.2,0.9538499999999746,0.09830000000000438,-0.05215000000000082,0.8602325267042626,0.8794626008252481,0.8154522272947744,0.8259284829189565,0.0006304550312456699,0.00017819043894134443,0.00036316937283365327,0.000596518511394103,0.00023334913856044978,0.0002334137375365759,0.00029337395450750264,0.00029343855348362875,1.0,-0.5,0.5
0.01,0.0005,0.9,1024,True,5554,250,0.9,0.2,-0.1,0.10950000000000014,-0.26604999999999207,1.1565500000000297,0.9273618495495703,0.936481738670951,1.1308318862678228,1.1083341442251988,0.0003825617692189333,8.81709798586124e-05,0.0002503052994310147,0.000596518511394103,0.00034621321196308836,0.00034627781093921447,0.00025673574787732605,0.00025680034685345216,1.0,-0.5,0.5
0.01,0.0005,0.95,42,True,4884,168,0.4,-0.5,1.1,0.3932499999999878,-0.38065000000000004,0.98739999999997,0.8485281374238571,0.8252552459398752,0.7873682397709382,0.7645121254338065,0.0006851218008749819,0.00011317731320885312,0.0005153558310617022,0.000596518511394103,8.116268033240084e-05,8.122727930852695e-05,0.0001249942108578993,0.0001250588098340254,1.0,-0.5,0.5
0.01,0.0005,0.95,123,True,4546,289,1.3,-0.1,-0.2,0.806099999999994,0.19759999999999747,-0.003700000000000442,0.8602325267042626,0.8794626008252481,0.8820185145449041,0.8880848410651305,0.0006304550312456699,0.00017819043894134443,0.00036316937283365327,0.000596518511394103,0.00023334913856044978,0.0002334137375365759,0.0003403780706891255,0.00034044266966525163,1.0,-0.5,0.5
0.01,0.0005,0.95,1024,True,5554,269,1.1,-0.2,0.1,0.9718999999999702,-0.12704999999999678,0.15515000000000162,0.5099019513592785,0.5263060391674862,0.5087266800552168,0.5193934964544206,0.000648933193067062,0.00013341365243065356,0.00044881271442108163,0.000596518511394103,0.00014770579697302141,0.00014777039594914752,0.00017497940605721283,0.00017504400503333894,1.0,-0.5,0.5
0.01,0.0005,0.99,42,True,4899,239,0.8,0.4,-0.2,-0.010050000000000567,0.14024999999999618,0.8697999999999992,1.1575836902790224,1.1649025911483617,1.251748019770751,1.2336936215682095,0.00024937605729486893,7.24243258564815e-05,0.0001407395685101467,0.000596518511394103,0.00045577894288395635,0.00045584354186008246,0.0004547768829109233,0.0004548414818870494,1.0,-0.5,0.5
0.01,0.0005,0.99,123,True,4546,232,0.8,-0.3,0.5,0.715249999999978,-0.18210000000000476,0.4668500000000002,0.282842712474619,0.2719541500392452,0.42806762900271905,0.41893036681879153,0.0006481654772321979,9.627819902983339e-05,0.0005037481786874478,0.000596518511394103,9.277033270665524e-05,9.283493168278135e-05,0.0001515868260009997,0.0001516514249771258,1.0,-0.5,0.5
